Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489434,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,12/1/09 7:45,2.1,13085,United Kingdom
489435,22195,HEART MEASURING SPOONS LARGE,24,12/1/09 7:46,1.65,13085,United Kingdom
489436,48173C,DOOR MAT BLACK FLOCK,10,12/1/09 9:06,5.95,13078,United Kingdom
489437,22143,CHRISTMAS CRAFT HEART DECORATIONS,6,12/1/09 9:08,2.1,15362,United Kingdom
489438,21252,SET OF MEADOW  FLOWER STICKERS,30,12/1/09 9:24,1.69,18102,United Kingdom
489439,22138,BAKING SET 9 PIECE RETROSPOT,9,12/1/09 9:28,4.95,12682,France
489440,22350,CAT BOWL,8,12/1/09 9:43,2.55,18087,United Kingdom
489441,22138,BAKING SET 9 PIECE RETROSPOT,6,12/1/09 9:44,4.25,18087,United Kingdom
489442,22111,SCOTTIE DOG HOT WATER BOTTLE,3,12/1/09 9:46,4.95,13635,United Kingdom
489443,82580,BATHROOM METAL SIGN,12,12/1/09 9:50,0.55,14110,United Kingdom
489445,35916B,BLUE FELT HANGING HEART W FLOWER,12,12/1/09 9:57,0.85,17519,United Kingdom
489446,21733,RED HANGING HEART T-LIGHT HOLDER,32,12/1/09 10:06,2.55,13758,United Kingdom
489448,20823,GOLD WINE GOBLET,48,12/1/09 10:18,4.25,15413,United Kingdom
489449,21871,SAVE THE PLANET MUG,12,12/1/09 10:33,1.25,16321,Australia
489450,21896,POTTING SHED TWINE,6,12/1/09 10:36,2.1,16321,Australia
489459,90200E,GREEN SWEETHEART BRACELET,3,12/1/09 10:44,4.25,17592,United Kingdom
489460,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,12/1/09 10:46,0.55,16167,United Kingdom
489461,21248,DOOR HANGER  MUM + DADS ROOM,12,12/1/09 10:49,1.45,17865,United Kingdom
489462,90200E,GREEN SWEETHEART BRACELET,3,12/1/09 10:49,4.25,17592,United Kingdom
489462,90185C,BLACK DIAMANTE EXPANDABLE RING,3,12/1/09 10:49,4.25,17592,United Kingdom
489465,21707,"FOLDING UMBRELLA , BLACK/BLUE  SPOT",12,12/1/09 10:52,4.95,13767,United Kingdom
489545,22113,GREY HEART HOT WATER BOTTLE,1,12/1/09 12:22,3.45,17804,United Kingdom
489476,22149,FELTCRAFT 6 FLOWER FRIENDS,6,12/1/09 10:55,2.1,13293,United Kingdom
489488,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,1,12/1/09 10:59,2.95,17238,United Kingdom
489503,21540,DAIRY MAID CERAMIC BUTTER DISH,2,12/1/09 11:04,4.25,16011,United Kingdom
489504,85083,KISS REINDEER SCANDINAVIAN STOCKING,6,12/1/09 11:10,2.55,13916,United Kingdom
489505,48185,DOOR MAT FAIRY CAKE,10,12/1/09 11:17,5.95,15712,United Kingdom
489514,47591D,PINK FAIRY CAKE CHILD'S APRON,50,12/1/09 11:21,1.65,15311,United Kingdom
489517,16207A,PINK STRAWBERRY HANDBAG,2,12/1/09 11:34,2.95,16329,United Kingdom
489518,20892,SET/3 TALL GLASS CANDLE HOLDER PINK,2,12/1/09 11:35,12.75,15461,United Kingdom
489519,22276,WASH BAG VINTAGE ROSE PAISLEY,6,12/1/09 11:37,2.55,17700,United Kingdom
489520,35751C,PURPLE CURRENT CANDLE RING,12,12/1/09 11:41,0.75,14911,EIRE
489522,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1,12/1/09 11:45,9.95,15998,United Kingdom
489523,84879,ASSORTED COLOUR BIRD ORNAMENT,800,12/1/09 11:46,1.45,12931,United Kingdom
489525,85226C,BLUE PULL BACK RACING CAR,1,12/1/09 11:49,0.55,13293,United Kingdom
489526,85049E,SCANDINAVIAN REDS RIBBONS,12,12/1/09 11:50,1.25,12533,Germany
489527,21173,LOO ROLL  METAL SIGN,12,12/1/09 11:50,1.65,16128,United Kingdom
489528,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1,12/1/09 11:50,7.95,16714,United Kingdom
489529,22300,COFFEE MUG DOG + BALL DESIGN,6,12/1/09 11:51,2.55,17984,United Kingdom
489530,72803A,ROSE SCENT CANDLE JEWELLED DRAWER,1,12/1/09 11:56,4.25,14748,United Kingdom
489531,21034,REX CASH+CARRY JUMBO SHOPPER,1,12/1/09 11:57,0.95,14871,United Kingdom
489532,85231E,STRAWBERRY SCENTED SET/9 T-LIGHTS,12,12/1/09 11:58,0.85,13394,United Kingdom
489533,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,12/1/09 12:02,0.85,16011,United Kingdom
489534,35832,WOOLLY HAT SOCK GLOVE ADVENT STRING,1,12/1/09 12:09,5.95,12615,France
489537,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,2,12/1/09 12:14,3.75,14040,United Kingdom